extraction_type,extraction_type_group,extraction_type_class,N
afridev,afridev,handpump,1770
cemo,other motorpump,motorpump,90
climax,other motorpump,motorpump,32
gravity,gravity,gravity,26780
india mark ii,india mark ii,handpump,2400
india mark iii,india mark iii,handpump,98
ksb,submersible,submersible,1415
mono,mono,motorpump,2865
nira/tanira,nira/tanira,handpump,8154
other,other,other,6430
other - mkulima/shinyanga,other handpump,handpump,2
other - play pump,other handpump,handpump,85
other - rope pump,rope pump,rope pump,451
other - swn 81,other handpump,handpump,229
submersible,submersible,submersible,4764
swn 80,swn 80,handpump,3670
walimi,other handpump,handpump,48
windmill,wind-powered,wind-powered,117
